time,venue,code,raceno,runnerno,runnername,type,market,bookie,odds,result,BSP,BSP
,,,,,,,,,,,Price Win,Price Place
6/20/2025 22:16,GLOUCESTER PARK,Harness,6,3,XCITE ME NZ,CASH,Fixed Win,TAB,12,Success,12.33,3.89
6/20/2025 21:46,GLOUCESTER PARK,Harness,5,6,AARDIEBYTHESEASIDE NZ,CASH,Fixed Win,Tabtouch,2.65,Success,2.86,1.4
6/20/2025 21:13,GLOUCESTER PARK,Harness,4,5,WHATARETHEODDS,CASH,Fixed Win,Sportsbet,15,Error,22,3.91
6/20/2025 21:07,GLOUCESTER PARK,Harness,4,2,ALCOPONY,CASH,Fixed Win,Tabtouch,4,Success,2.96,1.6
6/20/2025 21:06,GLOUCESTER PARK,Harness,4,5,WHATARETHEODDS,CASH,Fixed Win,BetRight,17,Error,22,3.91
6/20/2025 20:35,GLOUCESTER PARK,Harness,3,1,MONTANA D J NZ,CASH,Fixed Win,Betr,2.9,Success,3.35,1.56
6/20/2025 20:35,GLOUCESTER PARK,Harness,3,5,SUGAR APPLE NZ,CASH,Fixed Win,Tabtouch,17,Success,50,4.5
6/20/2025 20:33,GLOUCESTER PARK,Harness,3,1,MONTANA D J NZ,CASH,Fixed Win,Tabtouch,3.3,Success,3.35,1.56
6/20/2025 20:01,GLOUCESTER PARK,Harness,2,6,CROWD CONTROL,CASH,Fixed Win,BetRight,26,Error,40,5.9
6/20/2025 19:55,GLOUCESTER PARK,Harness,2,12,FASTER THAN DAD,CASH,Fixed Win,Tabtouch,21,Error,24,3.71
6/20/2025 19:26,GLOUCESTER PARK,Harness,1,10,FEELING ACES,CASH,Fixed Win,Tabtouch,31,Success,22,5.1
6/20/2025 19:24,GLOUCESTER PARK,Harness,1,1,MIKIPELO,CASH,Fixed Win,Sportsbet,12,Error,8.2,2.56
6/20/2025 19:23,GLOUCESTER PARK,Harness,1,1,MIKIPELO,CASH,Fixed Win,TAB,12,Error,8.2,2.56
6/20/2025 19:15,GLOUCESTER PARK,Harness,1,2,DARK EYES,CASH,Fixed Win,Tabtouch,2.4,Success,2.7,1.45
6/20/2025 22:13,PARKES,Harness,8,4,FIAMORE,CASH,Fixed Win,Tabtouch,8,Error,4.73,1.8
6/20/2025 22:11,PARKES,Harness,8,1,ESTHERS LAST,CASH,Fixed Win,TAB,7.5,Error,9.86,2.18
6/20/2025 22:09,PARKES,Harness,8,2,TURN OUT THE LIGHT,CASH,Fixed Win,Tabtouch,71,Error,90,12
6/20/2025 22:08,PARKES,Harness,8,2,TURN OUT THE LIGHT,CASH,Fixed Win,BetRight,71,Error,90,12
6/20/2025 21:37,PARKES,Harness,7,3,CHASIN YOU,CASH,Fixed Win,TAB,7.5,Success,5.19,1.86
6/20/2025 21:02,PARKES,Harness,6,9,LEAD ROLE,CASH,Fixed Win,BetRight,19,Success,22,4.2
6/20/2025 21:01,PARKES,Harness,6,1,CARIBBEAN PAT,CASH,Fixed Win,BetRight,2.5,Success,1.8,1.24
6/20/2025 20:28,PARKES,Harness,5,4,RIVERINA FLASH,CASH,Fixed Win,Sportsbet,1.9,Error,1.97,1.3
6/20/2025 20:25,PARKES,Harness,5,4,RIVERINA FLASH,CASH,Fixed Win,Tabtouch,1.9,Success,1.97,1.3
6/20/2025 19:54,PARKES,Harness,4,2,NOSAER,CASH,Fixed Win,TAB,1.9,Error,2.02,1.24
6/20/2025 19:50,PARKES,Harness,4,4,ROSIE ROMANCE,CASH,Fixed Win,TAB,11,Error,11,2.72
6/20/2025 19:17,PARKES,Harness,3,8,FOZZ,CASH,Fixed Win,TAB,5.5,Error,7.61,2.4
6/20/2025 19:16,PARKES,Harness,3,8,FOZZ,CASH,Fixed Win,BetRight,5.75,Error,7.61,2.4
6/20/2025 18:46,PARKES,Harness,2,2,LADY ROCKABELLUM,CASH,Fixed Win,Tabtouch,3.2,Success,3.35,1.52
6/20/2025 18:19,PARKES,Harness,1,4,DOING,CASH,Fixed Win,Tabtouch,11,Error,12.73,3.15
6/20/2025 18:19,PARKES,Harness,1,8,ZOLTON,CASH,Fixed Win,Tabtouch,7,Error,8.2,2.41
6/20/2025 18:18,PARKES,Harness,1,2,CHILLAX,CASH,Fixed Win,Sportsbet,19,Error,14.66,4.4
6/20/2025 18:17,PARKES,Harness,1,4,DOING,CASH,Fixed Win,Sportsbet,15,Success,12.73,3.15
6/20/2025 18:16,PARKES,Harness,1,4,DOING,CASH,Fixed Win,TAB,17,Error,12.73,3.15
6/20/2025 18:16,PARKES,Harness,1,2,CHILLAX,CASH,Fixed Win,BetRight,23,Error,14.66,4.4
6/20/2025 22:07,MELTON,Harness,9,8,BONA KHAN,CASH,Fixed Win,TAB,13,Error,14,2.28
6/20/2025 22:04,MELTON,Harness,9,8,BONA KHAN,CASH,Fixed Win,Betr,16,Success,14,2.28
6/20/2025 21:59,MELTON,Harness,9,8,BONA KHAN,CASH,Fixed Win,Tabtouch,17,Success,14,2.28
6/20/2025 21:29,MELTON,Harness,8,7,GIANVITO,CASH,Fixed Win,Tabtouch,2.9,Success,2.6,1.93
6/20/2025 21:29,MELTON,Harness,8,4,ALDEBARAN ZENDAYA,CASH,Fixed Win,TAB,12,Error,9.94,4.8
6/20/2025 21:29,MELTON,Harness,8,6,NIGHT FLIGHT,CASH,Fixed Win,TAB,34,Error,29,6.6
6/20/2025 21:28,MELTON,Harness,8,6,NIGHT FLIGHT,CASH,Fixed Win,Sportsbet,41,Success,29,6.6
6/20/2025 21:28,MELTON,Harness,8,4,ALDEBARAN ZENDAYA,CASH,Fixed Win,Tabtouch,13,Error,9.94,4.8
6/20/2025 21:26,MELTON,Harness,8,7,GIANVITO,CASH,Fixed Win,Sportsbet,3.4,Success,2.6,1.93
6/20/2025 20:57,MELTON,Harness,7,3,THE VILLAIN,CASH,Fixed Win,Tabtouch,1.8,Success,1.72,1.14
6/20/2025 19:13,MELTON,Harness,4,1,NOTHING SWEETER,CASH,Fixed Win,TAB,4,Error,3.55,1.6
